restaurant_id,user_id,name,city,rating,rating_count,average_cost,cuisine,address
567335,41,AB FOODS POINT,Abohar,--,Too Few Ratings,200,"Beverages,Pizzas","AB FOODS POINT, NEAR RISHI NARANG DENTAL CLINIC , NEAR IDBI BANK, ABOHAR"
531342,118,Janta Sweet House,Abohar,4.4,50+ ratings,200,"Sweets,Bakery","Janta Sweet House, Bazar No.9, Circullar Road, Abohar"
158203,121,theka coffee desi,Abohar,3.8,100+ ratings,100,Beverages,"theka coffee desi, sahtiya sadan road city"
187912,125,Singh Hut,Abohar,3.7,20+ ratings,250,"Fast Food,Indian","Singh Hut, CIRCULAR ROAD NEAR NEHRU PARK ABOHAR"
543530,169,GRILL MASTERS,Abohar,--,Too Few Ratings,250,"Italian-American,Fast Food","GRILL MASTERS, ADA Heights, Abohar - Hanumangarh Rd, Raipura, Abohar, Punjab 152116, India"
158204,178,Sam Uncle,Abohar,3.6,20+ ratings,200,Continental,"Sam Uncle, hanumangarh road near raja bajaj showroom abohar"
156588,190,shere punjab veg,Abohar,4.0,100+ ratings,150,North Indian,"shere punjab veg, major surinder chowk near verma sons petrol pump and lic building abohar"
244866,195,Shri Balaji Vaishno Dhaba,Abohar,--,Too Few Ratings,100,North Indian,"Shri Balaji Vaishno Dhaba, St no 13,6th chowk,main Bazar,near jain bhawan, abohar"
156602,209,Hinglaj Kachori Bhandhar,Abohar,4.2,20+ ratings,100,"Snacks,Chaat","Hinglaj Kachori Bhandhar, street no 11 circular road ,Abohar"
158193,231,yummy hub,Abohar,--,Too Few Ratings,200,Indian,"yummy hub, hanumangarh road near dr naveen sethi hospitalabohar"
407249,234,CHAWLA SAAB THE JUICE MASTER,Abohar,--,Too Few Ratings,300,"Juices,Beverages","CHAWLA SAAB THE JUICE MASTER, SAHITYA SADAN MARKET, ABOHAR ,  Abohar (M Cl) , Fazilka 1(Abohar), Fazilka,  Punjab-152116"
156590,245,Sethi Milk Badam,Abohar,4.2,20+ ratings,100,"Sweets,Desserts","Sethi Milk Badam, main bazar street no 11 abohar"
338749,248,Swastik Dhaba,Abohar,--,Too Few Ratings,200,North Indian,"Swastik Dhaba, Gaushala road street no 22 near shiv mandir abohar"
156601,256,Jodhpuri Kachori,Abohar,--,Too Few Ratings,100,Snacks,"Jodhpuri Kachori, mandi 1 street no 4 main bazar near sbi bank abohar"
156587,261,Bharawan Da Dhaba,Abohar,4.4,50+ ratings,300,Indian,"Bharawan Da Dhaba, rimpy bakery 12 circular road main bazar abohar"
158192,265,Tandoori Nights,Abohar,--,Too Few Ratings,300,Tandoor,"Tandoori Nights, near civil hospital canteen abohar"
394554,291,Roll Express,Abohar,4.0,20+ ratings,200,Fast Food,"Roll Express, Roll Express, Opposite Dr. Sarla Sethi Hospital, Near DAV College, Hanumangarh Road, Abohar"
158195,318,wah ji waah veg and non veg corner,Abohar,--,Too Few Ratings,200,"North Indian,Chinese","wah ji waah veg and non veg corner, Hanuman garh road, Down the flyover. Near Dr.Navin Sheety Abohar"
257181,321,Shri Balaji fast food and Variety store,Abohar,--,Too Few Ratings,100,Indian,"Shri Balaji fast food and Variety store, opposite Loona Nursing home"
530909,336,FOODY MOOD,Abohar,4.7,20+ ratings,300,"Fast Food,Chinese","FOODY MOOD, Arya nagar St no 7 Abohar, Abohar (M Cl),  Fazilka 1(Abohar), Fazilka, Punjab - 152116"
573649,352,PUNJABI TADKA,Abohar,--,Too Few Ratings,700,"Punjabi,North Indian","PUNJABI TADKA, HANUMANGARH ROAD,UNDER  FLYOVER,OPP SETHI REGENCY ABOHAR,  Abohar (M Cl), Fazilka 1(Abohar), Fazilka,  Punjab - 152116"
573656,360,PUNJABI TADKA CHICKEN HUB,Abohar,--,Too Few Ratings,650,"North Indian,Tandoor","PUNJABI TADKA CHICKEN HUB, HANUMANGARH ROAD,UNDER  FLYOVER,OPP SETHI REGENCY ABOHAR,  Abohar (M Cl), Fazilka 1(Abohar), Fazilka,  Punjab - 152116"
420675,363,Royal Chicken,Abohar,4.2,20+ ratings,200,"Mughlai,North Indian","Royal Chicken, Near Naveen Sethi Hospital, Under Flyover, Abohar"
427610,374,Just Baked,Abohar,--,Too Few Ratings,300,"Beverages,Pizzas","Just Baked, New Abadi, Ward no. 22, Abohar (M Cl), Fazilka 1(Abohar), Fazilka, Punjab - 152116"
435582,377,Picado International Food,Abohar,--,Too Few Ratings,300,"Pizzas,Beverages","Picado International Food, Opp New Grain Market, Fazilka Road, Abohar"
382204,429,PubG Cafe,Abohar,--,Too Few Ratings,200,"Chinese,Pizzas","PubG Cafe, St. No 2, Near Essar petrol pump, Sitto  road, Model Town , Abohar, Fazilka,  Abohar (M Cl), Fazilka 1(Abohar), Fazilka,  Punjab - 152116"
460692,506,Verma Dhaba,Abohar,--,Too Few Ratings,300,Indian,"Verma Dhaba, GangaNagar Road, Near Tara Estate, Abohar"
368328,509,Fresh Food Cafe,Abohar,--,Too Few Ratings,150,North Indian,"Fresh Food Cafe, Sito Road, Near Railway Crossing, Model Town, Abohar"
530878,513,NAVU PIZZA HOUSE,Abohar,--,Too Few Ratings,300,"Pizzas,Fast Food","NAVU PIZZA HOUSE, COLLEGE ROAD ABOHAR,ABOHAR,FAZILKA 1,FAZILKA PUNJAB-152116"
171675,557,Domino's Pizza,Abohar,4.4,20+ ratings,400,Pizzas,"Domino's Pizza, ADAHeights,HanumangarhRoad,SunderNagari,Abohar,District,Fazilka"
475283,566,Joker Cafe,Abohar,--,Too Few Ratings,200,Indian,"Joker Cafe, First Floor, Shop No.226, City Walk  Mall, College Road, Fazilka  1(Abohar), Fazilka, , Punjab, 152116"
421155,578,Deepak Dhaba,Abohar,--,Too Few Ratings,350,"North Indian,Chinese","Deepak Dhaba, Sito Chowk Near By Pass, Abohar"
545273,583,FUN TIME (SHARMA DAIRY),Abohar,--,Too Few Ratings,300,Ice Cream,"FUN TIME (SHARMA DAIRY), ST NO. 10,NEW ABADI ABOHAR,FAZILKA,PUNJAB 152116"
440811,597,Pari Healthy Food,Abohar,--,Too Few Ratings,300,"Pizzas,American","Pari Healthy Food, Dhani Bishesharnath, Kandhwal Road, Abohar"
420586,619,Bhatti Ki Rasoi,Abohar,--,Too Few Ratings,200,North Indian,"Bhatti Ki Rasoi, HANUMANGARH ROAD, AZIMGARH CHUNGI, Fazilka, Punjab- 152116"
448046,622,SETHI PUNJABI RASOI,Abohar,--,Too Few Ratings,300,Indian,"SETHI PUNJABI RASOI, HANUMANGARH ROAD NEAR AZIMGARH  CHUNGI OPPOSITE BABA DEEP SINGH  GURUDHWARA ABOHAR, Abohar (M Cl),  Fazilka 1(Abohar), Fazilka, Punjab - 152116"
187921,633,Kurda Ram Desi Ghee Dhaba(Original & Famous),Abohar,--,Too Few Ratings,250,North Indian,"Kurda Ram Desi Ghee Dhaba(Original & Famous), BAZAR NO. 4, ABOHAR, Abohar (M Cl),  Fazilka 1(Abohar), Fazilka, Punjab - 152116"
551512,636,Paratha 24x7,Abohar,--,Too Few Ratings,150,"Indian,Thalis","Paratha 24x7, Waryam nagar, Abohar (M Cl), Fazilka   1(Abohar), Fazilka, Punjab - 152116"
351387,644,NIKKU VEG THALI,Abohar,4.1,100+ ratings,150,North Indian,"NIKKU VEG THALI, College Road, Near Railway Line, Abohar"
432675,649,PARJAPATI FAST FOOD,Abohar,--,Too Few Ratings,200,"Fast Food,American","PARJAPATI FAST FOOD, NEW GRAIN MARKET, NEAR SEWA KENDR, Fazilka 1(Abohar), Fazilka, , Punjab, 152116"
